time,np0::ethTxFrameRate,np0::ethTxFrameDataRate,np0::ethRxFrameRate,np0::ethRxFrameDataRate,np1::ethTxFrameRate,np1::ethTxFrameDataRate,np1::ethRxFrameRate,np1::ethRxFrameDataRate,np2::ethTxFrameRate,np2::ethTxFrameDataRate,np2::ethRxFrameRate,np2::ethRxFrameDataRate,time,np0::cpu_usage,np0::mem_usage,np0::disk_usage,np1::cpu_usage,np1::mem_usage,np1::disk_usage,np2::cpu_usage,np2::mem_usage,np2::disk_usage,time,np0::appAttempted,np0::appSuccessful,np0::appUnsuccessful,np0::appIncomplete,np0::appAttemptedRate,np0::appSuccessfulRate,np0::appUnsuccessfulRate,np0::appServerDataValid,np0::appServerDataNotValid,np0::tcpClientEstablished,np0::tcpClientEstablishRate,np0::tcpClientClosed,np0::tcpClientClosedByReset,np0::tcpClientCloseRate,np0::tcpAttempted,np0::tcpAttemptRate,np1::appAttempted,np1::appSuccessful,np1::appUnsuccessful,np1::appIncomplete,np1::appAttemptedRate,np1::appSuccessfulRate,np1::appUnsuccessfulRate,np1::appServerDataValid,np1::appServerDataNotValid,np1::tcpClientEstablished,np1::tcpClientEstablishRate,np1::tcpClientClosed,np1::tcpClientClosedByReset,np1::tcpClientCloseRate,np1::tcpAttempted,np1::tcpAttemptRate,Progress,time,Raw::appTxFrameData,Raw::appTxFrameDataRate,Raw::appRxFrameData,Raw::appRxFrameDataRate,Raw::appAttemptedRate,Raw::appSuccessfulRate,Raw::appUnsuccessfulRate,SAP::appTxFrameData,SAP::appTxFrameDataRate,SAP::appRxFrameData,SAP::appRxFrameDataRate,SAP::appAttemptedRate,SAP::appSuccessfulRate,SAP::appUnsuccessfulRate,time,tcpTxFrameDataRate,tcpRxFrameDataRate,tcpClientEstablishRate,tcpClientConcurrent,tcpAttemptRate,tcpServerConcurrent,tcpClientStateSynSent,tcpClientStateSynReceived,tcpClientStateEstablished,tcpClientStateCloseWait,tcpClientStateFinWait1,tcpClientStateClosing,tcpClientStateFinWait2,tcpClientStateTimeWait,tcpServerStateSynReceived,tcpServerStateEstablished,tcpServerStateCloseWait,tcpServerStateFinWait1,tcpServerStateClosing,tcpServerStateFinWait2,tcpServerStateTimeWait,time,ethTxFrames,ethTxFrameRate,ethTxFrameDataRate,ethRxFrames,ethRxFrameRate,ethRxFrameDataRate,tcpFlowsConcurrent,udpFlowsConcurrent,totalFlowsConcurrent,superFlowsConcurrent,sctpFlowsConcurrent,concurrentAppFlows,appAttempted,appSuccessful,appUnsuccessful,appIncomplete,appAttemptedRate,appSuccessfulRate,appUnsuccessfulRate,txFrames,rxFrames,tcpClientEstablished,tcpClientEstablishRate,tcpClientClosed,tcpClientClosedByReset,tcpClosedByReset,tcpClientCloseRate,tcpAttempted,tcpAttemptRate,tcpServerEstablished,tcpServerEstablishRate,tcpServerClosed,tcpServerClosedByReset,tcpServerCloseRate,DNS::appTxFrameData,DNS::appTxFrameDataRate,DNS::appRxFrameData,DNS::appRxFrameDataRate,DNS::appAttemptedRate,DNS::appSuccessfulRate,DNS::appUnsuccessfulRate,FTP::appTxFrameData,FTP::appTxFrameDataRate,FTP::appRxFrameData,FTP::appRxFrameDataRate,FTP::appAttemptedRate,FTP::appSuccessfulRate,FTP::appUnsuccessfulRate,HTTP::appTxFrameData,HTTP::appTxFrameDataRate,HTTP::appRxFrameData,HTTP::appRxFrameDataRate,HTTP::appAttemptedRate,HTTP::appSuccessfulRate,HTTP::appUnsuccessfulRate,SIP::appTxFrameData,SIP::appTxFrameDataRate,SIP::appRxFrameData,SIP::appRxFrameDataRate,SIP::appAttemptedRate,SIP::appSuccessfulRate,SIP::appUnsuccessfulRate,SMTP::appTxFrameData,SMTP::appTxFrameDataRate,SMTP::appRxFrameData,SMTP::appRxFrameDataRate,SMTP::appAttemptedRate,SMTP::appSuccessfulRate,SMTP::appUnsuccessfulRate,Telnet::appTxFrameData,Telnet::appTxFrameDataRate,Telnet::appRxFrameData,Telnet::appRxFrameDataRate,Telnet::appAttemptedRate,Telnet::appSuccessfulRate,Telnet::appUnsuccessfulRate,eDonkey::appTxFrameData,eDonkey::appTxFrameDataRate,eDonkey::appRxFrameData,eDonkey::appRxFrameDataRate,eDonkey::appAttemptedRate,eDonkey::appSuccessfulRate,eDonkey::appUnsuccessfulRate,tcpAvgResponseTime,tcpAvgCloseTime,tcpAvgSessionDuration,tcpAvgSetupTime,Citrix::appTxFrameData,Citrix::appTxFrameDataRate,Citrix::appRxFrameData,Citrix::appRxFrameDataRate,Citrix::appAttemptedRate,Citrix::appSuccessfulRate,Citrix::appUnsuccessfulRate,RTCP::appTxFrameData,RTCP::appTxFrameDataRate,RTCP::appRxFrameData,RTCP::appRxFrameDataRate,RTCP::appAttemptedRate,RTCP::appSuccessfulRate,RTCP::appUnsuccessfulRate,RTP::appTxFrameData,RTP::appTxFrameDataRate,RTP::appRxFrameData,RTP::appRxFrameDataRate,RTP::appAttemptedRate,RTP::appSuccessfulRate,RTP::appUnsuccessfulRate
0.7067407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7067407,61.66342,0.0,0.0,62.55628,12.39877,4.03777,0.89286,12.39877,4.03777,0.7067407,18.0,18.0,0.0,0.0,27.82,27.82,0.0,0.0,0.0,2.0,3.091,0.0,0.0,0.0,2.0,3.091,18.0,18.0,0.0,0.0,27.82,27.82,0.0,0.0,0.0,2.0,3.091,0.0,0.0,0.0,2.0,3.091, 2.48846%,0.7067407,618.0,0.009867,618.0,0.009867,0.0,0.0,0.0,2385.0,0.03394,2385.0,0.03394,27.82,27.82,0.0,0.7067407,0.006578,0.006578,3.091,2.0,3.091,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7067407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,18.0,0.0,0.0,27.82,27.82,0.0,4.0,7.0,2.0,3.091,0.0,0.0,0.0,0.0,2.0,3.091,2.0,3.091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7058601,8099.0,11.32,8099.0,11.32,5166.0,5.476,2933.0,5.842,2933.0,5.842,5166.0,5.476,3.7058601,75.50422,0.0,0.0,85.03998,12.40396,4.03796,9.53576,12.40396,4.03796,3.7058601,3149.0,3106.0,0.0,43.0,1632.0,1610.0,0.0,0.0,0.0,800.0,439.8,756.0,0.0,436.5,800.0,439.8,3149.0,3106.0,0.0,43.0,1632.0,1610.0,0.0,0.0,0.0,800.0,439.8,756.0,0.0,436.5,800.0,439.8, 9.823080000000003%,3.7058601,430800.0,2.284,430800.0,2.284,375.7,375.7,0.0,309405.0,1.46,309405.0,1.46,1169.0,1169.0,0.0,3.7058601,7.645,7.543,439.8,44.0,439.8,45.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,3.7058601,10304.0,8099.0,11.32,10304.0,8099.0,11.32,43.0,18.0,61.0,61.0,0.0,74.0,3149.0,3106.0,0.0,43.0,1632.0,1610.0,0.0,10351.0,10356.0,800.0,439.8,756.0,0.0,0.0,436.5,800.0,439.8,802.0,438.7,758.0,0.0,417.7,10872.0,0.05848,10872.0,0.05848,33.15,33.15,0.0,74668.0,0.4395,74668.0,0.4395,19.89,19.89,0.0,195900.0,0.8271,195900.0,0.8271,19.89,0.0,0.0,10001.0,0.04741,10001.0,0.04741,2.21,0.0,0.0,62415.0,0.3831,62415.0,0.3831,2.21,2.21,0.0,52137.0,0.3165,52137.0,0.3165,5.525,5.525,0.0,314538.0,1.034,314538.0,1.034,4.699,4.699,0.0,0.003,0.078,0.606,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.706114,5873.0,7.867,5873.0,7.867,3880.0,4.154,1993.0,3.714,1993.0,3.714,3880.0,4.154,5.706114,78.58684,0.0,0.0,82.72218,12.46216,4.0381,4.13534,12.46216,4.0381,5.706114,8261.0,8227.0,0.0,34.0,1651.0,1653.0,0.0,0.0,0.0,2183.0,401.2,2153.0,0.0,403.1,2183.0,401.2,8261.0,8227.0,0.0,34.0,1651.0,1653.0,0.0,0.0,0.0,2183.0,401.2,2153.0,0.0,403.1,2183.0,401.2, 21.803850000000008%,5.706114,1140000.0,2.171,1140000.0,2.171,357.1,357.1,0.0,797505.0,1.522,797505.0,1.522,1219.0,1219.0,0.0,5.706114,4.95,4.948,447.4,40.0,447.4,40.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.706114,42259.0,11370.0,19.01,42259.0,11370.0,19.01,26.0,21.0,47.0,43.0,0.0,73.0,6574.0,6538.0,0.0,36.0,1676.0,1677.0,0.0,42989.0,42997.0,1773.0,447.4,1741.0,0.0,0.0,449.4,1773.0,447.4,1776.0,448.4,1743.0,0.0,449.4,31320.0,0.05151,31320.0,0.05151,29.35,29.35,0.0,254070.0,0.2598,254070.0,0.2598,11.74,11.74,0.0,1764471.0,1.022,1762957.0,1.022,18.59,24.46,0.0,34552.0,0.06336,34552.0,0.06336,2.935,0.0,0.0,124740.0,0.0,124740.0,0.0,0.0,0.0,0.0,148732.0,0.3165,148732.0,0.3165,5.871,4.892,0.0,1474786.0,1.144,1474786.0,1.144,5.871,5.871,0.0,0.004,0.039,39.71,0.005,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,1000.0,0.001637,1000.0,0.001637,0.0,0.0,0.0,151420.0,0.7857,151420.0,0.7857,0.0,0.0,0.0
8.70608,6238.0,15.89,6238.0,15.89,3714.0,3.942,2524.0,11.95,2524.0,11.95,3714.0,3.942,8.70608,79.24047,0.0,0.0,85.64751,12.4645,4.03817,6.40704,12.4645,4.03817,8.70608,11472.0,11429.0,0.0,43.0,1623.0,1613.0,0.0,0.0,0.0,3017.0,419.4,2978.0,0.0,409.4,3017.0,419.4,11472.0,11429.0,0.0,43.0,1623.0,1613.0,0.0,0.0,0.0,3017.0,419.4,2978.0,0.0,409.4,3017.0,419.4, 29.42692%,8.70608,1599000.0,2.315,1599000.0,2.315,380.4,380.4,0.0,1112243.0,1.455,1112243.0,1.455,1165.0,1165.0,0.0,8.70608,13.68,13.68,419.4,49.0,419.4,49.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,8.70608,60240.0,6238.0,15.89,60240.0,6238.0,15.89,41.0,25.0,66.0,62.0,0.0,83.0,11472.0,11429.0,0.0,43.0,1623.0,1613.0,0.0,60938.0,60945.0,3017.0,419.4,2978.0,0.0,0.0,409.4,3017.0,419.4,3018.0,419.4,2979.0,0.0,409.4,42812.0,0.06297,42812.0,0.06297,35.04,35.04,0.0,283907.0,0.1326,283907.0,0.1326,6.006,6.006,0.0,3121980.0,10.21,3120466.0,10.21,28.03,19.02,0.0,39593.0,0.02162,39593.0,0.02162,1.001,0.0,0.0,187065.0,0.3471,187065.0,0.3471,2.002,2.002,0.0,214441.0,0.1717,214441.0,0.1717,3.003,3.003,0.0,1533328.0,0.4912,1533328.0,0.4912,2.002,2.002,0.0,0.002,0.023,43.394,0.003,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,2504.0,0.004677,2504.0,0.004677,0.0,0.0,0.0,330412.0,0.788,330412.0,0.788,0.0,0.0,0.0
10.706061,5425.0,6.315,5425.0,6.315,3675.0,4.031,1750.0,2.284,1750.0,2.284,3675.0,4.031,10.706061,80.12103,0.0,0.0,83.87103,12.45985,4.03824,3.75,12.45985,4.03824,10.706061,16329.0,16298.0,0.0,31.0,1660.0,1665.0,0.0,0.0,0.0,4247.0,370.6,4221.0,0.0,375.6,4247.0,370.6,16329.0,16298.0,0.0,31.0,1660.0,1665.0,0.0,0.0,0.0,4247.0,370.6,4221.0,0.0,375.6,4247.0,370.6, 40.96539000000001%,10.706061,2289600.0,2.086,2289600.0,2.087,342.7,343.7,0.0,1596777.0,1.578,1596777.0,1.578,1265.0,1265.0,0.0,10.706061,3.62,3.588,428.9,36.0,428.9,36.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,10.706061,71731.0,5528.0,6.267,71731.0,5528.0,6.267,29.0,27.0,56.0,52.0,0.0,68.0,14667.0,14631.0,0.0,36.0,1608.0,1598.0,0.0,72375.0,72381.0,3876.0,428.9,3845.0,0.0,0.0,419.8,3876.0,428.9,3876.0,428.9,3845.0,0.0,419.8,54684.0,0.04207,54684.0,0.04207,23.98,23.98,0.0,313818.0,0.1326,313818.0,0.1326,5.994,5.994,0.0,3387608.0,0.7643,3386094.0,0.7643,13.99,17.98,0.0,39593.0,0.0,39593.0,0.0,0.0,0.0,0.0,228555.0,0.1728,228555.0,0.1728,0.999,0.999,0.0,336214.0,0.4593,336214.0,0.4593,7.992,7.992,0.0,1638174.0,0.0,1638174.0,0.0,0.0,0.0,0.0,0.002,0.018,42.721,0.002,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,5000.0,0.006937,5000.0,0.006937,0.0,0.0,0.0,601612.0,0.7864,601612.0,0.7864,0.0,0.0,0.0
13.707177,1178.0,1.831,1178.0,1.831,669.0,0.9241,509.0,0.9064,509.0,0.9064,669.0,0.9241,13.707177,79.23265,0.0,0.0,90.26022,12.46177,4.03829,11.02757,12.46177,4.03829,13.707177,17925.0,17908.0,0.0,17.0,0.0,32.61,0.0,0.0,0.0,4670.0,0.0,4657.0,0.0,33.6,4670.0,0.0,17925.0,17908.0,0.0,17.0,0.0,32.61,0.0,0.0,0.0,4670.0,0.0,4657.0,0.0,33.6,4670.0,0.0, 48.68846%,13.707177,2512200.0,0.0,2512200.0,0.0,0.0,0.0,0.0,1750542.0,0.0,1750542.0,0.0,0.0,0.0,0.0,13.707177,0.3413,0.3413,0.0,13.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.707177,84493.0,1178.0,1.831,84493.0,1178.0,1.831,17.0,4.0,21.0,17.0,0.0,17.0,17925.0,17908.0,0.0,17.0,0.0,32.61,0.0,84569.0,84569.0,4670.0,0.0,4657.0,0.0,0.0,33.6,4670.0,0.0,4670.0,0.0,4657.0,0.0,33.6,62280.0,0.0,62280.0,0.0,0.0,0.0,0.0,328775.0,0.0,328775.0,0.0,0.0,0.0,0.0,4157501.0,0.3313,4155987.0,0.3313,0.0,32.61,0.0,39593.0,0.0,39593.0,0.0,0.0,0.0,0.0,270135.0,0.0,270135.0,0.0,0.0,0.0,0.0,359426.0,0.0,359426.0,0.0,0.0,0.0,0.0,1743020.0,0.0,1743020.0,0.0,0.0,0.0,0.0,0.001,0.015,49.243,0.002,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,6504.0,0.005755,6504.0,0.005755,0.0,0.0,0.0,782864.0,0.7818,782864.0,0.7818,0.0,0.0,0.0
15.705842,407.0,0.8075,407.0,0.8075,204.0,0.4047,204.0,0.4048,203.0,0.4028,203.0,0.4027,15.705842,76.67294,0.0,0.0,82.92294,12.47757,4.03836,6.25,12.47757,4.03836,15.705842,17925.0,17908.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4670.0,0.0,4657.0,0.0,0.0,4670.0,0.0,17925.0,17908.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4670.0,0.0,4657.0,0.0,0.0,4670.0,0.0, 59.81923%,15.705842,2512200.0,0.0,2512200.0,0.0,0.0,0.0,0.0,1750542.0,0.0,1750542.0,0.0,0.0,0.0,0.0,15.705842,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,15.705842,85337.0,408.0,0.8095,85337.0,408.0,0.8095,13.0,4.0,17.0,13.0,0.0,17.0,17925.0,17908.0,0.0,17.0,0.0,0.0,0.0,85385.0,85385.0,4670.0,0.0,4657.0,0.0,0.0,0.0,4670.0,0.0,4670.0,0.0,4657.0,0.0,0.0,62280.0,0.0,62280.0,0.0,0.0,0.0,0.0,328775.0,0.0,328775.0,0.0,0.0,0.0,0.0,4157501.0,0.0,4155987.0,0.0,0.0,0.0,0.0,39593.0,0.0,39593.0,0.0,0.0,0.0,0.0,270135.0,0.0,270135.0,0.0,0.0,0.0,0.0,359426.0,0.0,359426.0,0.0,0.0,0.0,0.0,1743020.0,0.0,1743020.0,0.0,0.0,0.0,0.0,0.001,0.015,49.243,0.002,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,9504.0,0.01038,9504.0,0.01038,0.0,0.0,0.0,1045024.0,0.7793,1045024.0,0.7793,0.0,0.0,0.0
18.706213,288.0,0.5735,288.0,0.5735,148.0,0.2839,140.0,0.2896,140.0,0.2896,148.0,0.2839,18.706213,75.08871,0.0,0.0,77.71371,12.42236,4.03844,2.625,12.42236,4.03844,18.706213,17934.0,17920.0,0.0,14.0,1.006,4.024,0.0,0.0,0.0,4670.0,0.0,4661.0,0.0,4.024,4670.0,0.0,17934.0,17920.0,0.0,14.0,1.006,4.024,0.0,0.0,0.0,4670.0,0.0,4661.0,0.0,4.024,4670.0,0.0, 71.76539%,18.706213,2512200.0,0.0,2512200.0,0.0,0.0,0.0,0.0,1750542.0,0.0,1750542.0,0.0,0.0,0.0,0.0,18.706213,0.05893,0.05893,0.0,13.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,18.706213,86461.0,288.0,0.5735,86461.0,288.0,0.5735,13.0,6.0,19.0,13.0,0.0,21.0,17933.0,17916.0,0.0,17.0,5.01,4.008,0.0,86503.0,86502.0,4670.0,0.0,4657.0,0.0,0.0,0.0,4670.0,0.0,4670.0,0.0,4657.0,0.0,0.0,62280.0,0.0,62280.0,0.0,0.0,0.0,0.0,328775.0,0.0,328775.0,0.0,0.0,0.0,0.0,4157501.0,0.0,4155987.0,0.0,0.0,0.0,0.0,54109.0,0.05136,54109.0,0.05136,0.0,4.024,0.0,270135.0,0.0,270135.0,0.0,0.0,0.0,0.0,359426.0,0.0,359426.0,0.0,0.0,0.0,0.0,1743020.0,0.0,1743020.0,0.0,0.0,0.0,0.0,0.001,0.015,49.243,0.002,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,10993.0,0.002262,10993.0,0.002262,0.0,0.0,0.0,1301534.0,0.8019,1301534.0,0.8019,1.006,0.0,0.0
21.706036,804.0,1.605,804.0,1.605,402.0,0.8024,402.0,0.8023,402.0,0.8023,402.0,0.8024,21.706036,74.54641,0.0,0.0,81.05455,12.42333,4.0385,6.50814,12.42333,4.0385,21.706036,17937.0,17920.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4670.0,0.0,4661.0,0.0,0.0,4670.0,0.0,17937.0,17920.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4670.0,0.0,4661.0,0.0,0.0,4670.0,0.0, 79.56155000000003%,21.706036,2512200.0,0.0,2512200.0,0.0,0.0,0.0,0.0,1750542.0,0.0,1750542.0,0.0,0.0,0.0,0.0,21.706036,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,21.706036,88349.0,804.0,1.605,88349.0,804.0,1.605,9.0,8.0,17.0,9.0,0.0,17.0,17937.0,17920.0,0.0,17.0,0.0,0.0,0.0,88466.0,88466.0,4670.0,0.0,4661.0,0.0,0.0,0.0,4670.0,0.0,4670.0,0.0,4661.0,0.0,0.0,62280.0,0.0,62280.0,0.0,0.0,0.0,0.0,328775.0,0.0,328775.0,0.0,0.0,0.0,0.0,4157501.0,0.0,4155987.0,0.0,0.0,0.0,0.0,57597.0,0.0,57597.0,0.0,0.0,0.0,0.0,270135.0,0.0,270135.0,0.0,0.0,0.0,0.0,359426.0,0.0,359426.0,0.0,0.0,0.0,0.0,1743020.0,0.0,1743020.0,0.0,0.0,0.0,0.0,0.001,0.015,63.245,0.002,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,12081.0,0.007749,12081.0,0.007749,0.0,0.0,0.0,1642116.0,1.53,1642116.0,1.53,0.0,0.0,0.0
24.706644,912.0,1.814,912.0,1.814,456.0,0.9071,456.0,0.9068,456.0,0.9068,456.0,0.9071,24.706644,73.91703,0.0,0.0,76.17267,12.42178,4.03856,2.25564,12.42178,4.03856,24.706644,17938.0,17920.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4670.0,0.0,4661.0,0.0,0.0,4670.0,0.0,17938.0,17920.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4670.0,0.0,4661.0,0.0,0.0,4670.0,0.0, 90.98846%,24.706644,2512200.0,0.0,2512200.0,0.0,0.0,0.0,0.0,1750542.0,0.0,1750542.0,0.0,0.0,0.0,0.0,24.706644,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,24.706644,91037.0,912.0,1.814,91037.0,912.0,1.814,9.0,9.0,18.0,9.0,0.0,18.0,17938.0,17920.0,0.0,18.0,0.0,0.0,0.0,91138.0,91138.0,4670.0,0.0,4661.0,0.0,0.0,0.0,4670.0,0.0,4670.0,0.0,4661.0,0.0,0.0,62280.0,0.0,62280.0,0.0,0.0,0.0,0.0,328775.0,0.0,328775.0,0.0,0.0,0.0,0.0,4157501.0,0.0,4155987.0,0.0,0.0,0.0,0.0,59341.0,0.0,59341.0,0.0,0.0,0.0,0.0,270135.0,0.0,270135.0,0.0,0.0,0.0,0.0,359426.0,0.0,359426.0,0.0,0.0,0.0,0.0,1743020.0,0.0,1743020.0,0.0,0.0,0.0,0.0,0.001,0.015,63.245,0.002,3429892.0,0.0,3429892.0,0.0,0.0,0.0,0.0,15090.0,0.0135,15090.0,0.0135,0.0,0.0,0.0,2239660.0,1.777,2239660.0,1.777,0.0,0.0,0.0
